"SKU","Price","Quantity","Product_ID","Product-ID-Type","Condition-Type","Condition-Note"
"1500977","89.99","12","B08MVCKP19","ASIN","new","new"
"1500992","104.99","43","B08MTZGPYS","ASIN","new","new"
"1501217","109.99","11","B08MV2CJG9","ASIN","new","new"
"1501219","24.99","19","B08MTXH6WP","ASIN","new","new"
"1501378","39.99","20","B08MTXFTN9","ASIN","new","new"
"1501379","134.99","44","B08RJXL7S2","ASIN","new","new"
"1501381","34.99","20","B08MTYD1HD","ASIN","new","new"
"1544058","794.99","18","B08MTXGGDP","ASIN","new","new"
"1544152","69.989999999999995","84","B08RJV56CT","ASIN","new","new"
"1544279","669.99","11","B08MTYJP7G","ASIN","new","new"
"1824724","879.99","74","B08RP2BVYR","ASIN","new","new"
"1824725","879.99","72","B08RP2CSDW","ASIN","new","new"
"1824735","1004.99","62","B08RP5L9C1","ASIN","new","new"
"1824736","1004.99","49","B08MTYZZRY","ASIN","new","new"
"1912037","99.99","83","B08MV1NYX3","ASIN","new","new"
"1912040","244.99","76","B08MTYC9QN","ASIN","new","new"
"1912076","104.99","19","B083FYB52W","ASIN","new","new"
"1912078","69.989999999999995","47","B08MTYXBG7","ASIN","new","new"
"1912268","94.99","85","B08MTZ389B","ASIN","new","new"
"1912269","64.989999999999995","99","B083FXJFHN","ASIN","new","new"
"1912344","94.99","99","B083FXTN9Q","ASIN","new","new"
"1912581","59.99","87","B08MTX7K13","ASIN","new","new"
"1912900","89.99","12","B08MV34JWX","ASIN","new","new"
"1912939","74.989999999999995","31","B08MTYBG8G","ASIN","new","new"
"1912940","74.989999999999995","41","B088HD1GPL","ASIN","new","new"
"1913075","139.99","99","B08MTYRZ3X","ASIN","new","new"
"1913079","199.99","35","B08MTYJGT7","ASIN","new","new"
"1913082","39.99","52","B088HFF86P","ASIN","new","new"
"1913083","44.99","23","B088HG1XFH","ASIN","new","new"
"1913090","64.989999999999995","99","B088HD3W55","ASIN","new","new"
"1913246","209.99","65","B08MTX8XM4","ASIN","new","new"
"1913248","119.99","75","B08MTYTZM9","ASIN","new","new"
"1913288","424.99","20","B08MTYV88C","ASIN","new","new"
"1913317","139.99","34","B08MTZ2H8H","ASIN","new","new"
"1913334","264.99","13","B08MTZFC8M","ASIN","new","new"
"1913335","189.99","24","B088HD2ZD6","ASIN","new","new"
"1913352","84.99","21","B08MV1ZP2M","ASIN","new","new"
"1913375","89.99","98","B08MV1D31B","ASIN","new","new"
"1913390","264.99","79","B08MTZ5251","ASIN","new","new"
"1913426","59.99","44","B08MV1F59H","ASIN","new","new"
"1913687","264.99","54","B08MV1C1P3","ASIN","new","new"
"1913689","244.99","52","B08MTZ48T1","ASIN","new","new"
"1913690","424.99","32","B08MV1KM4W","ASIN","new","new"
"1913756","99.99","89","B08MV18DBJ","ASIN","new","new"
"2204193","24.99","24","B08GZB92MC","ASIN","new","new"
"2204194","104.99","18","B08GZCMR73","ASIN","new","new"
"2204214","109.99","99","B097YMZP31","ASIN","new","new"
"2205156","94.99","53","B08MTZ4TLQ","ASIN","new","new"
"2205159","154.99","18","B01G7LFEFQ","ASIN","new","new"
"2205162","294.99","26","B08MV1JCCD","ASIN","new","new"
"2205163","294.99","43","B08MTXH18Q","ASIN","new","new"
"2205196","349.99","21","B083SRVYQ2","ASIN","new","new"
"2205199","154.99","12","B088HDNTJF","ASIN","new","new"
"2205282","349.99","40","B08HQTW2SP","ASIN","new","new"
"2205356","64.989999999999995","43","B088HD5K14","ASIN","new","new"
"2205357","29.99","36","B01G7LKWCG","ASIN","new","new"
"2205377","159.99","19","B08MTXB3G4","ASIN","new","new"
"2205391","24.99","13","B08MTZ6WRZ","ASIN","new","new"
"2205742","154.99","14","B088HFR2BH","ASIN","new","new"
"2205744","309.99","11","B08MTXDBHF","ASIN","new","new"
"2205811","264.99","44","B08HPVV3FK","ASIN","new","new"
"2205812","264.99","37","B08MV121JG","ASIN","new","new"
"2205813","179.99","21","B088HG5DZ8","ASIN","new","new"
"2205814","24.99","99","B08MTZHYZ6","ASIN","new","new"
"2205817","24.99","99","B08GZC5CR2","ASIN","new","new"
"2205820","79.989999999999995","99","B084JH2C9Y","ASIN","new","new"
"2205853","29.99","32","B08MV1BWCS","ASIN","new","new"
"2205855","24.99","99","B08MTZB4KD","ASIN","new","new"
"2205856","44.99","99","B08MTX87NQ","ASIN","new","new"
"2205999","169.99","14","B088HF41VX","ASIN","new","new"
"2206001","24.99","11","B08GZHCXJ6","ASIN","new","new"
"2206120","119.99","16","B08MTZ6X6S","ASIN","new","new"
"2206121","119.99","24","B08MV1B687","ASIN","new","new"
"2206122","79.989999999999995","43","B08MV1L98V","ASIN","new","new"
"2206140","54.99","26","B08GZD63LZ","ASIN","new","new"
"2206143","64.989999999999995","99","B083WQ1YJJ","ASIN","new","new"
"2206145","54.99","12","B08GZBQPQG","ASIN","new","new"
"2206147","59.99","50","B08GZF5NM5","ASIN","new","new"
"2206148","89.99","97","B087YRM45K","ASIN","new","new"
"2206151","54.99","26","B08GZDWTN2","ASIN","new","new"
"2206152","79.989999999999995","61","B083XF83B6","ASIN","new","new"
"2206156","44.99","47","B07V48Z3J1","ASIN","new","new"
"2206174","94.99","23","B08MTX92VS","ASIN","new","new"
"2206176","49.99","51","B088HF8N72","ASIN","new","new"
"2206227","244.99","11","B08NVD3MBL","ASIN","new","new"
"2206256","1224.99","14","B08NTYN785","ASIN","new","new"
"2206270","404.99","12","B088HF9CPF","ASIN","new","new"
"2206273","104.99","13","B07SQHFCJX","ASIN","new","new"
"2206275","319.99","12","B088HDLHFV","ASIN","new","new"
"2206331","24.99","99","B088HDBGKC","ASIN","new","new"
"2206363","59.99","42","B088HDGL51","ASIN","new","new"
"2206389","49.99","29","B087Z2Q12T","ASIN","new","new"
"2206390","119.99","99","B084JHLCLM","ASIN","new","new"
"2206391","54.99","29","B08MTYZDXR","ASIN","new","new"
"2206684","39.99","99","B083M492QG","ASIN","new","new"
"2207031","24.99","99","B08MTYRZ3V","ASIN","new","new"
"2207067","44.99","21","B08MTYKRC1","ASIN","new","new"
"2207323","114.99","28","B088HDZMSP","ASIN","new","new"
"2207325","109.99","17","B08MTZF8T1","ASIN","new","new"
"2207327","54.99","26","B08MTYNZJH","ASIN","new","new"
"2207340","159.99","20","B08MV1SYQ5","ASIN","new","new"
"2207341","159.99","20","B08MTZB8BX","ASIN","new","new"
"2207342","109.99","12","B08MTXBHZT","ASIN","new","new"
"2207343","89.99","13","B088HF5C37","ASIN","new","new"
"2207345","264.99","35","B08MTZCJSG","ASIN","new","new"
"2207348","129.99","11","B08MV13C87","ASIN","new","new"
"2207349","79.989999999999995","33","B08MTZ3NNG","ASIN","new","new"
"2207412","54.99","34","B08MTZL8Z6","ASIN","new","new"
"2207464","44.99","15","B08MV28THR","ASIN","new","new"
"2207465","39.99","49","B08MTZ8J26","ASIN","new","new"
"2207469","169.99","28","B08MTYHCT8","ASIN","new","new"
"2207471","139.99","23","B08MV13WJH","ASIN","new","new"
"2207472","139.99","12","B08QFZ3M5Y","ASIN","new","new"
"2207621","279.99","12","B08MTZBDZZ","ASIN","new","new"
"2207622","139.99","15","B08MTZFKB8","ASIN","new","new"
"2207837","119.99","99","B08MV36WTY","ASIN","new","new"
"2207838","54.99","99","B08MTZLJDG","ASIN","new","new"
"2207839","79.989999999999995","99","B08MTXGXCQ","ASIN","new","new"
"2207943","139.99","30","B08MV266Z3","ASIN","new","new"
"2207944","244.99","42","B088HFD85C","ASIN","new","new"
"2207987","74.989999999999995","38","B08MTYCJW4","ASIN","new","new"
"2208036","454.99","45","B08MTYC8TS","ASIN","new","new"
"2208037","39.99","42","B088HCNGZP","ASIN","new","new"
"2208038","94.99","87","B08MTYK7LD","ASIN","new","new"
"2208039","34.99","99","B08MTZH8BF","ASIN","new","new"
"2208054","454.99","12","B08MTYQ674","ASIN","new","new"
"2208055","559.99","45","B08MV1RYDX","ASIN","new","new"
"2208056","99.99","11","B08MTYNZJG","ASIN","new","new"
"2208057","114.99","99","B08MV1C1P2","ASIN","new","new"
"2208062","59.99","34","B08MV1Q581","ASIN","new","new"
"2208066","29.99","99","B08MV483VV","ASIN","new","new"
"2208073","29.99","71","B08MTZ3LLG","ASIN","new","new"
"2208074","44.99","22","B088HD4Q79","ASIN","new","new"
"2208077","39.99","50","B08RJTXLLL","ASIN","new","new"
"2208099","454.99","21","B08MTZ1G49","ASIN","new","new"
"2208100","454.99","21","B08MTYQ673","ASIN","new","new"
"2208102","244.99","56","B08MTYZ4PJ","ASIN","new","new"
"2208103","244.99","58","B08MTZ4TY4","ASIN","new","new"
"2208104","369.99","53","B08MTYNCW1","ASIN","new","new"
"2208105","369.99","51","B08MTYHRCX","ASIN","new","new"
"2208106","69.989999999999995","48","B08RJV4CJ6","ASIN","new","new"
"2208107","154.99","51","B08MTZKKKH","ASIN","new","new"
"2208108","154.99","50","B08MTZ16GJ","ASIN","new","new"
"2208109","59.99","52","B08MTXCTTP","ASIN","new","new"
"2208113","39.99","79","B08MTZ4684","ASIN","new","new"
"2208115","34.99","79","B08MTZPJNF","ASIN","new","new"
"2208116","34.99","76","B08MTXH3SZ","ASIN","new","new"
"2208135","209.99","17","B08MTXCWYC","ASIN","new","new"
"2208136","209.99","15","B08MV1HZJJ","ASIN","new","new"
"2208137","79.989999999999995","99","B08MVJFGL1","ASIN","new","new"
"2208228","129.99","64","B08MV18WGR","ASIN","new","new"
"2208229","119.99","99","B08MTZRQY6","ASIN","new","new"
"2208245","109.99","39","B08MTZQQ4N","ASIN","new","new"
"2208245","109.99","39","B08MTZQQ4N","ASIN","new","new"
"2208280","109.99","75","B08MTZ8Q3X","ASIN","new","new"
"2208281","79.989999999999995","46","B08MTZD61Q","ASIN","new","new"
"2208282","89.99","93","B08MTZ5L5W","ASIN","new","new"
"2208401","99.99","14","B08RJSYN1V","ASIN","new","new"
"2412455","199.99","41","B088HF1KJZ","ASIN","new","new"
"2412473","104.99","11","B08MTZ6F1R","ASIN","new","new"
"2412541","99.99","52","B088HFYCZS","ASIN","new","new"
"2412602","69.989999999999995","19","B088HDHR5X","ASIN","new","new"
"2412682","69.989999999999995","99","B097YLTZ75","ASIN","new","new"
"2412703","244.99","56","B08GZFLX64","ASIN","new","new"
"2412820","109.99","11","B08MTZV5MV","ASIN","new","new"
"2412936","349.99","65","B06WP3VK5N","ASIN","new","new"
"2412958","79.989999999999995","17","B08MTYHCT7","ASIN","new","new"
"2412962","264.99","36","B08MTY2Z7R","ASIN","new","new"
"2412986","54.99","39","B088HDVRB8","ASIN","new","new"
"2412997","34.99","11","B08GZBT7ZX","ASIN","new","new"
"2413257","264.99","13","B08NY5JYWP","ASIN","new","new"
"2413260","349.99","25","B08MTYB8NK","ASIN","new","new"
"2413356","969.99","27","B08GZDXDWQ","ASIN","new","new"
"2413357","934.99","12","B08GZFPBYR","ASIN","new","new"
"2413395","159.99","99","B088HFD65D","ASIN","new","new"
"2413713","54.99","99","B08GZDN2YV","ASIN","new","new"
"2413810","79.989999999999995","99","B08MTZ1G4B","ASIN","new","new"
"2413826","119.99","99","B08MTYJS5X","ASIN","new","new"
"2413895","34.99","17","B088GJBX5N","ASIN","new","new"
"2413896","34.99","15","B088HD1SFZ","ASIN","new","new"
"2414051","94.99","17","B08MTXFCRC","ASIN","new","new"
"2414065","1519.99","11","B08MV1F2ZL","ASIN","new","new"
"2414066","349.99","12","B08MV1MFTL","ASIN","new","new"
"2414093","994.99","33","B08MV157QY","ASIN","new","new"
"2414193","209.99","97","B088HF6Y2Y","ASIN","new","new"
"2414219","264.99","48","B088HD7DZG","ASIN","new","new"
"2414279","199.99","36","B08MTYRHGK","ASIN","new","new"
"2414280","199.99","11","B08MTY8P1C","ASIN","new","new"
"2414353","479.99","17","B08MV151G7","ASIN","new","new"
"2414355","309.99","17","B08RJVJ4NW","ASIN","new","new"
"2414419","969.99","14","B08MTYYWT3","ASIN","new","new"
"2414422","39.99","99","B088HFVK61","ASIN","new","new"
"2414426","104.99","18","B08MTZBTX8","ASIN","new","new"
"2414437","64.989999999999995","11","B08MTXGZZB","ASIN","new","new"
"2414498","134.99","23","B08MV1DHF4","ASIN","new","new"
"2414503","634.99","12","B088HDLZN9","ASIN","new","new"
"2414626","614.99","11","B08MTXF2LZ","ASIN","new","new"
"2414628","39.99","33","B08MSWYPYK","ASIN","new","new"
"2414638","159.99","33","B08MTY8KWY","ASIN","new","new"
"2414639","39.99","12","B08MV2DYVH","ASIN","new","new"
"2414641","59.99","14","B088HCWS6X","ASIN","new","new"
"2414647","54.99","99","B08MTZGJ2L","ASIN","new","new"
"2414669","109.99","11","B08MTZPXT1","ASIN","new","new"
"2414672","199.99","23","B08MTYP3RF","ASIN","new","new"
"2414673","209.99","35","B08MV19MTK","ASIN","new","new"
"2414744","1519.99","11","B08RJT3BMT","ASIN","new","new"
"2414770","969.99","13","B08MTYPJWN","ASIN","new","new"
"2414771","59.99","23","B08MTYL4LQ","ASIN","new","new"
"2414772","64.989999999999995","27","B08MTZ43KZ","ASIN","new","new"
"2414773","64.989999999999995","14","B08MTZYHTC","ASIN","new","new"
"2414780","129.99","31","B08MV2Q52B","ASIN","new","new"
"2414781","44.99","17","B08MTYMZJH","ASIN","new","new"
"2414785","59.99","50","B088HDTKNL","ASIN","new","new"
"2414786","59.99","49","B08MV19MTL","ASIN","new","new"
"2414790","79.989999999999995","16","B08P3T48LL","ASIN","new","new"
"2414836","114.99","13","B08MTZR5ZX","ASIN","new","new"
"2414908","69.989999999999995","25","B088HDMJ4Q","ASIN","new","new"
"2414977","1579.99","13","B08MV15TJK","ASIN","new","new"
"2414983","479.99","14","B08MTZY1NN","ASIN","new","new"
"2415009","634.99","17","B08MTZSZ2Z","ASIN","new","new"
"2415029","64.989999999999995","42","B08MTX8XM2","ASIN","new","new"
"2415124","244.99","55","B08MTZ2F1J","ASIN","new","new"
"2415125","244.99","49","B08MTZGG3X","ASIN","new","new"
"2415171","534.99","15","B08MV239G6","ASIN","new","new"
"2415172","534.99","19","B08RJWLZJS","ASIN","new","new"
"2415173","479.99","28","B08MTY9PTD","ASIN","new","new"
"2415309","79.989999999999995","14","B08MTZ3PGG","ASIN","new","new"
"2415311","44.99","16","B08MTXCZM2","ASIN","new","new"
"2415314","114.99","47","B08MV1QC7G","ASIN","new","new"
"2415338","509.99","21","B08MV2XVDN","ASIN","new","new"
"2416052","614.99","30","B0BWNR24N7","ASIN","new","new"
"2416052","614.99","30","B0BWNR24N7","ASIN","new","new"
"2521284","89.99","55","B08MTXBGHX","ASIN","new","new"
"2521332","264.99","35","B08NDDY4F3","ASIN","new","new"
"2521384","54.99","76","B083WPH1QX","ASIN","new","new"
"2521423","39.99","99","B083SRCLX2","ASIN","new","new"
"2521425","149.99","99","B08MV22QCF","ASIN","new","new"
"2521477","29.99","99","B088HD79XZ","ASIN","new","new"
"2521504","74.989999999999995","83","B08MTZL35S","ASIN","new","new"
"2521510","59.99","20","B08GZCWGG2","ASIN","new","new"
"2521552","29.99","22","B08MTZN22X","ASIN","new","new"
"2521557","79.989999999999995","52","B08MTZKLVL","ASIN","new","new"
"2521733","474.99","99","B08MTYSXYG","ASIN","new","new"
"2521769","39.99","82","B08MV11WYW","ASIN","new","new"
"2521798","34.99","28","B08P5HZCKN","ASIN","new","new"
"2521826","34.99","11","B08MTYYX6X","ASIN","new","new"
"2521827","79.989999999999995","73","B08MV1F73L","ASIN","new","new"
"2521836","189.99","99","B08N6Z3D79","ASIN","new","new"
"2521882","84.99","20","B08MV2B99J","ASIN","new","new"
"2521898","69.989999999999995","97","B088HFCJ31","ASIN","new","new"
"2521915","109.99","14","B08MTYCTVV","ASIN","new","new"
"2521920","24.99","99","B096MT3H9P","ASIN","new","new"
"2521982","69.989999999999995","11","B08MTZHXKP","ASIN","new","new"
"2521983","64.989999999999995","35","B08MTZ2MNH","ASIN","new","new"
"2521984","114.99","90","B08MTZ2899","ASIN","new","new"
"2522001","79.989999999999995","99","B08MTYZ7PY","ASIN","new","new"
"2522014","464.99","21","B08P3R93P4","ASIN","new","new"
"2522036","69.989999999999995","49","B08MV1H8L6","ASIN","new","new"
"2522053","94.99","73","B08MTZ8KQP","ASIN","new","new"
"2522090","44.99","26","B08MSS2X9Z","ASIN","new","new"
"2522135","49.99","65","B08MV3B53J","ASIN","new","new"
"2522136","44.99","63","B08MTXBWFZ","ASIN","new","new"
"2522160","454.99","99","B088HD6NPB","ASIN","new","new"
"2522168","179.99","27","B08MSLF3RM","ASIN","new","new"
"2522195","94.99","12","B08LSB7XYR","ASIN","new","new"
"2522246","614.99","99","B08KQJ3NMW","ASIN","new","new"
"2522265","454.99","25","B08KQJQL75","ASIN","new","new"
"2635094","24.99","52","B08MTXGJZX","ASIN","new","new"
"2635293","209.99","39","B08MTXB63F","ASIN","new","new"
"2635294","209.99","32","B08MTXYXDH","ASIN","new","new"
"2635308","424.99","38","B088HF81GR","ASIN","new","new"
"2636398","34.99","99","B084JT7W9W","ASIN","new","new"
"2636843","74.989999999999995","99","B08NC6K8D7","ASIN","new","new"
"2637108","114.99","42","B08MTXDGKG","ASIN","new","new"
"2637109","114.99","35","B08MTZYLX5","ASIN","new","new"
"2637439","59.99","99","B08MTZ5Q5Q","ASIN","new","new"
"2637525","54.99","13","B08MTX8WSM","ASIN","new","new"
"2637655","79.989999999999995","18","B08MTYSL1J","ASIN","new","new"
"2637656","29.99","99","B08MV16CCH","ASIN","new","new"
"2637663","199.99","37","B08MTYS4DH","ASIN","new","new"
"2637693","389.99","15","B08MTZ2WSS","ASIN","new","new"
"2637942","179.99","35","B08MTZR6C7","ASIN","new","new"
"2686004","54.99","96","B08MTYX86S","ASIN","new","new"
"2686412","934.99","18","B08RP2971P","ASIN","new","new"
"2686413","44.99","49","B08MTZ44GQ","ASIN","new","new"
"2686426","279.99","13","B08MV1HNKX","ASIN","new","new"
"2688850","54.99","26","B08MTZMM2W","ASIN","new","new"
"2688986","169.99","12","B08MV1YHWY","ASIN","new","new"
